ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
-0.00991,-0.010567,0.018343,0.024256,0.004217,-0.002682,-0.029292,0.027541,-0.012538,0.029512
-0.011881,-0.016151,0.019985,0.021628,0.002902,-0.008267,-0.020751,0.026884,-0.001368,0.013086
-0.019765,-0.015494,0.019657,0.024256,0.007173,-0.003011,-0.029292,0.027541,0.022942,0.000274
-0.017794,-0.019765,0.020314,0.024256,0.012429,-0.000711,-0.026993,0.022613,-0.016151,0.033783
-0.019108,-0.018123,0.023599,0.023599,0.017029,0.002245,-0.027978,0.022613,0.002245,-0.012866
-0.021736,-0.014837,0.024256,0.024585,0.005531,0.011772,-0.02765,0.022942,-0.000383,0.011772
-0.026007,-0.011552,0.022613,0.027213,0.008816,0.004545,-0.029949,0.02787,0.018671,0.017029
-0.017466,-0.014509,0.022942,0.028527,0.00783,0.006516,-0.031263,0.018343,0.037068,0.016372
-0.014509,-0.00761,0.022613,0.028527,0.004545,0.007502,-0.031592,0.021299,0.001588,0.007502
-0.010567,-0.005967,0.019657,0.021956,0.009473,0.005202,-0.030935,0.022285,0.02557,0.015715
-0.007939,-0.00531,0.019328,0.02327,-0.001368,0.000603,-0.024364,0.020971,0.025899,0.02327
-0.001368,-0.006953,0.021628,0.022942,0.004217,0.002902,-0.026664,0.011772,0.024256,0.025899
-0.000383,-0.004982,0.022285,0.022942,0.006516,0.000931,-0.030606,0.023599,0.019985,0.027541
0.008159,0.00126,0.022285,0.024256,0.007502,-0.003011,-0.027978,0.02787,0.00783,0.031155
0.013744,0.009144,0.0167,0.023928,0.008487,0.000274,-0.030278,0.021628,0.044953,0.024913
0.015715,0.010458,0.022942,0.022942,0.006516,-0.002354,-0.02765,0.024256,0.030826,0.035097
0.014729,0.006516,0.022942,0.024913,0.00356,-0.00104,-0.031263,0.021628,0.027213,0.034112
0.01013,0.001588,0.02787,0.02557,0.006845,0.003231,-0.030278,0.023928,0.015386,0.057765
0.005531,0.000274,0.018671,0.027541,0.014401,0.009144,-0.031263,0.023599,0.031155,0.041996
0.003231,-0.000383,0.021299,0.02787,0.011115,-5.4e-05,-0.029949,0.022942,0.029512,0.038382
0.003231,-0.004325,0.020642,0.02557,0.009801,0.006845,-0.029292,0.025242,0.026884,0.040353
-0.011881,-0.00104,0.018671,0.024256,0.013086,0.002245,-0.026664,0.029512,0.018343,0.041667
-0.00991,-0.00991,0.019,0.026227,0.015715,0.00126,-0.028307,0.024913,0.057765,0.029841
-0.004982,-0.007939,0.018343,0.026884,0.015386,-5.4e-05,-0.02765,0.029512,0.035754,0.04561
0.002902,-0.006296,0.019,0.028527,0.017686,-0.013852,-0.02765,0.026556,0.023928,0.034769
0.012101,-0.004653,0.020314,0.02557,0.00783,-0.001697,-0.025678,0.026556,-0.007282,0.017686
